trace_id,loss,accuracy,auc_2
5,0.139502614736557,0.9701393246650696,0.5457305312156677
6,0.16795065999031067,0.9701393246650696,0.5532232522964478
7,0.1919889599084854,0.9701393246650696,0.5046393275260925
8,0.2278444916009903,0.9701393246650696,0.5245993137359619
9,0.23914162814617157,0.9701393246650696,0.5102126598358154
10,0.18060609698295593,0.9701393246650696,0.5242294073104858
1,0.29376861453056335,0.9701393246650696,0.5175760984420776
5,0.13519912958145142,0.9701393246650696,0.5363657474517822
6,0.1526717245578766,0.9701393246650696,0.5280792713165283
7,0.13726629316806793,0.9701393246650696,0.5511695146560669
8,0.17020483314990997,0.9701393246650696,0.5109667181968689
9,0.22742190957069397,0.9701393246650696,0.517805814743042
10,0.21853016316890717,0.9701393246650696,0.5083692073822021
1,0.21626873314380646,0.9701393246650696,0.529426097869873
5,0.1378920078277588,0.9701393246650696,0.5425098538398743
6,0.1427406519651413,0.9701393246650696,0.5414812564849854
7,0.16996687650680542,0.9701393246650696,0.541755735874176
8,0.2067452222108841,0.9701393246650696,0.5239271521568298
9,0.17442691326141357,0.9701393246650696,0.5182702541351318
10,0.18739137053489685,0.9701393246650696,0.5353853702545166
1,0.1938014030456543,0.9701393246650696,0.5484141111373901
5,0.1358974128961563,0.9701393246650696,0.5304749011993408
6,0.15874531865119934,0.9701393246650696,0.5504450798034668
7,0.16349948942661285,0.9701393246650696,0.523439884185791
8,0.229060560464859,0.9701393246650696,0.538091778755188
9,0.21392840147018433,0.9701393246650696,0.521960437297821
10,0.14616279304027557,0.9701393246650696,0.5226984620094299
1,0.17950773239135742,0.9701393246650696,0.5459678173065186
5,0.13493411242961884,0.9701393246650696,0.5547043681144714
6,0.13866090774536133,0.9701393246650696,0.5495887994766235
7,0.14633938670158386,0.9701393246650696,0.5401209592819214
8,0.14901256561279297,0.9701393246650696,0.5388230681419373
9,0.18743270635604858,0.9701393246650696,0.5100530385971069
10,0.18534578382968903,0.9701393246650696,0.5218937397003174
1,0.1589132845401764,0.9701393246650696,0.5501925349235535
5,0.13941392302513123,0.9701393246650696,0.5339311957359314
6,0.13538527488708496,0.9701393246650696,0.535352349281311
7,0.1480998396873474,0.9701393246650696,0.540902853012085
8,0.15879681706428528,0.9701393246650696,0.5374964475631714
9,0.21655280888080597,0.9701393246650696,0.5256768465042114
10,0.1577201634645462,0.9701393246650696,0.5130482912063599
1,0.16254745423793793,0.9701393246650696,0.5499358177185059
5,0.1358906775712967,0.9701393246650696,0.5432496070861816
6,0.14922185242176056,0.9701393246650696,0.5373258590698242
7,0.1523798704147339,0.9701393246650696,0.5412440299987793
8,0.2036551982164383,0.9699181318283081,0.5318843126296997
9,0.2150254249572754,0.9701393246650696,0.5141417980194092
10,0.2132929563522339,0.9701393246650696,0.5283671617507935
1,0.17163896560668945,0.9701393246650696,0.5496377944946289
5,0.13582222163677216,0.9701393246650696,0.5341372489929199
6,0.14394360780715942,0.9701393246650696,0.5449798107147217
7,0.15088802576065063,0.9701393246650696,0.490116685628891
8,0.14656095206737518,0.9701393246650696,0.5271884202957153
9,0.22413869202136993,0.9672638773918152,0.5034089684486389
10,0.14493903517723083,0.9701393246650696,0.5395256280899048
1,0.16160622239112854,0.9701393246650696,0.5509280562400818
5,0.1348520666360855,0.9701393246650696,0.5444808006286621
6,0.13598830997943878,0.9701393246650696,0.5559980273246765
7,0.1387486308813095,0.9701393246650696,0.5508427619934082
8,0.1862688809633255,0.9701393246650696,0.5288434624671936
9,0.264283150434494,0.9701393246650696,0.5148688554763794
10,0.16559766232967377,0.9701393246650696,0.5391075611114502
1,0.17302043735980988,0.9701393246650696,0.5582754611968994
5,0.13936036825180054,0.9701393246650696,0.5591055154800415
6,0.13730952143669128,0.9701393246650696,0.5289168953895569
7,0.1470302939414978,0.9701393246650696,0.548932671546936
8,0.16135378181934357,0.9699181318283081,0.529560387134552
9,0.19398334622383118,0.9701393246650696,0.5177035927772522
10,0.16720865666866302,0.9701393246650696,0.5340367555618286
1,0.16127628087997437,0.9701393246650696,0.5555622577667236
5,0.1346694380044937,0.9701393246650696,0.552234411239624
6,0.13446785509586334,0.9701393246650696,0.5476152896881104
7,0.15033172070980072,0.9701393246650696,0.5571186542510986
8,0.151083841919899,0.9701393246650696,0.5433551073074341
9,0.23068980872631073,0.9701393246650696,0.5107657313346863
10,0.16156409680843353,0.9701393246650696,0.5427243709564209
1,0.14803604781627655,0.9701393246650696,0.5540828704833984
5,0.1366012841463089,0.9701393246650696,0.5612141489982605
6,0.13803905248641968,0.9701393246650696,0.5581539273262024
7,0.14327944815158844,0.9701393246650696,0.5392047166824341
8,0.14789807796478271,0.9701393246650696,0.5478171110153198
9,0.17587894201278687,0.9701393246650696,0.5193393230438232
10,0.15703101456165314,0.9701393246650696,0.533909261226654
1,0.16631056368350983,0.9701393246650696,0.5546258091926575
5,0.13655999302864075,0.9701393246650696,0.5532705783843994
6,0.1439148336648941,0.9701393246650696,0.5546891689300537
7,0.14089435338974,0.9701393246650696,0.5316900610923767
8,0.1420818567276001,0.9701393246650696,0.5476871132850647
9,0.21460947394371033,0.9701393246650696,0.5050108432769775
10,0.15509691834449768,0.9701393246650696,0.5398582816123962
1,0.15857452154159546,0.9701393246650696,0.5508866906166077
5,0.13688065111637115,0.9701393246650696,0.5585710406303406
6,0.1339554339647293,0.9701393246650696,0.5631107091903687
7,0.14836452901363373,0.9701393246650696,0.5502753257751465
8,0.13902060687541962,0.9701393246650696,0.5489689707756042
9,0.19416052103042603,0.9701393246650696,0.5225777626037598
10,0.1458032876253128,0.9701393246650696,0.5443304181098938
1,0.14703930914402008,0.9701393246650696,0.5560656189918518
5,0.13476528227329254,0.9701393246650696,0.5430072546005249
6,0.14074541628360748,0.9701393246650696,0.5505995154380798
7,0.14041605591773987,0.9701393246650696,0.5447256565093994
8,0.1356910914182663,0.9701393246650696,0.5140066742897034
9,0.19913606345653534,0.9701393246650696,0.5188765525817871
10,0.17655548453330994,0.9701393246650696,0.5338425040245056
1,0.16779905557632446,0.9701393246650696,0.5589307546615601
